Product,"Item Code",Color,ONHand,SOQty,POQty,"Unlocated Quantity","Rel Po","Item Code Desc"
NetPlay,H4594-30-USBK,BK,5,0,0,5,N/A,"Bird's Nest Mini Treehouse Bla"
NetPlay,H4594-30-USMC,MC,1,0,2,1,"0013935: 2 ord 0 recd reqd 2017-12-08","Bird's Nest Mini Treehouse Mul"
NetPlay,H4594-30-USSD,SD,1,0,0,1,N/A,"Bird's Nest Mini Treehouse San"
NetPlay,H4640-1BK,BK,5,0,0,5,N/A,"X Pyramid 2 Black"
NetPlay,H4640-1BL,BL,1,0,0,1,N/A,"X Pyramid 2 Blue"
NetPlay,H4640-1RD,RD,1,0,0,1,N/A,"X Pyramid 2 Red"
NetPlay,H4640-2BK,BK,0,1,5,-1,"0014396: 1 ord 0 recd reqd 2018-01-26<br>0014140: 4 ord 0 recd reqd 2017-12-18","X Pyramid 1 Black"
NetPlay,H4650-85BBK,BK,5,0,0,5,N/A,"Bird's Nest Mini Cradle Black"
NetPlay,H4650-85BBL,BL,4,0,0,4,N/A,"Bird's Nest Mini Cradle Blue ("
NetPlay,H4650-85BSD,SD,5,0,0,5,N/A,"Bird's Nest Mini Cradle Sand ("
NetPlay,H4650BL,BL,4,0,0,4,N/A,"Original Huck Bird's Nest"
NetPlay,H4650GN,GN,5,0,0,5,N/A,"Original Huck Bird's Nest"
NetPlay,H4652-10-USMC,MC,4,0,0,4,N/A,"Bird's Nest Tree Multi-Color"
NetPlay,H4652-10-USSD,SD,2,0,0,2,N/A,"Bird's Nest Tree Sand"
NetPlay,H4687-20S-USBK,BK,1,0,0,1,N/A,"Pirate Tower 2 Black"
NetPlay,H4954-30-USBK,BK,0,0,0,0,N/A,"Bird's Nest Mini Treehouse Bla"
NetPlay,H4959-20-USBK,BK,2,0,0,2,N/A,"Catwalk Adventure Bridge Black"
NetPlay,H4959-20-USBKNP,NP,4,0,0,4,N/A,"Catwalk Adventure Bridge Black"
NetPlay,H4959-20-USMC,MC,0,0,1,0,"0014278: 1 ord 0 recd reqd 2018-01-12","Catwalk Adventure Bridge Multi"
NetPlay,H4959-20-USSD,SD,3,0,0,3,N/A,"Catwalk Adventure Bridge Sand"
NetPlay,H5000-4-4BK,BK,3,1,1,2,"0013981: 1 ord 0 recd reqd 2017-12-11","Spider Pyramid 4-4 Black"
NetPlay,H5000-6-4BK,BK,5,0,0,5,N/A,"Spider Pyramid 6-4 Black"
NetPlay,H5000-6-6BK,BK,3,0,0,3,N/A,"Spider Pyramid 6-6 Black"
NetPlay,H5000-6-6BKRD,RD,1,0,0,1,N/A,"Spider Pyramid 6-6 Black/Red"
NetPlay,H5000-8-6BK,BK,2,0,0,2,N/A,"Spider Pyramid 8-6 Black"
NetPlay,H5000-8-6BKRD,RD,1,0,0,1,N/A,"Spider Pyramid 8-6 Black/Red"
NetPlay,H803BK,BK,5,0,0,5,N/A,"Bird's Nest Cradle Black"
NetPlay,H803BL,BL,4,0,0,4,N/A,"Bird's Nest Cradle Blue"
NetPlay,H803SD,SD,5,0,0,5,N/A,"Bird's Nest Cradle Sand"
